page=0 | namespace=0 | type=1 | misc
page=0 | namespace=0 | type=1 | nvs.net80211
page=0 | namespace=0 | type=1 | phy
page=0 | namespace=3 | type=4 | cal_version
page=0 | namespace=2 | type=2 | sta.lis_intval
page=0 | namespace=2 | type=1 | sta.scan_method
page=0 | namespace=2 | type=1 | sta.sort_method
page=0 | namespace=2 | type=1 | sta.minauth
page=0 | namespace=2 | type=1 | sta.pmf_e
page=0 | namespace=2 | type=1 | sta.pmf_r
page=0 | namespace=2 | type=1 | sta.rrm_e
page=0 | namespace=2 | type=1 | sta.btm_e
page=0 | namespace=2 | type=1 | sta.mbo_e
page=0 | namespace=2 | type=1 | sta.bss_retry
page=0 | namespace=2 | type=1 | sta.trans_d
page=0 | namespace=2 | type=1 | sta.sae_h2e
page=0 | namespace=0 | type=1 | dhcp_state
page=1 | namespace=2 | type=1 | sta.phybw
page=1 | namespace=2 | type=1 | ap.phybw
page=1 | namespace=2 | type=1 | ap.authmode
page=1 | namespace=2 | type=1 | ap.hidden
page=1 | namespace=2 | type=1 | ap.max.conn
page=1 | namespace=2 | type=1 | ap.p_cipher
page=1 | namespace=2 | type=1 | ap.sndchan
page=1 | namespace=2 | type=1 | bssid.set
page=2 | namespace=2 | type=2 | bcn.interval
page=2 | namespace=2 | type=1 | ap.ftm_r
page=2 | namespace=0 | type=1 | app
page=4 | namespace=2 | type=1 | ap.chan
page=4 | namespace=2 | type=1 | opmode
page=4 | namespace=2 | type=1 | sta.chan
page=4 | namespace=4 | type=4 | WIFI_STA_DEF
